id,flavor_name,category,ingredients,sugar_g_per_serving,fat_g_per_serving,calories_per_serving,allergens,health_risk,description
510,Almond Swirl,Nut,"condensed milk, natural flavor, salt, milk, corn syrup",27,19,335,Peanuts,Contains dairy which may affect lactose intolerant individuals,A delicious almond swirl ice cream with rich taste and smooth creamy texture.
511,Blackberry Fusion,Healthy,"cookie crumbs, salt, cocoa powder, fruit puree, condensed milk, chocolate chips",28,9,330,Milk,High fat content may contribute to obesity,A delicious blackberry fusion ice cream with rich taste and smooth creamy texture.
512,Lychee Fusion,Chocolate,"cream, food coloring, natural flavor, corn syrup, fruit puree, brown sugar, cocoa powder, honey",34,5,272,Peanuts,Nut allergens may cause allergic reactions,A delicious lychee fusion ice cream with rich taste and smooth creamy texture.
513,Brownie Fusion,Candy,"roasted nuts, cream, food coloring, wafer pieces, natural flavor, fruit puree",24,5,334,Soy,Contains dairy which may affect lactose intolerant individuals,A delicious brownie fusion ice cream with rich taste and smooth creamy texture.
514,Cardamom Delight,Classic,"food coloring, cocoa powder, wafer pieces, cookie crumbs, vanilla extract, cream",25,15,313,None,High calorie dessert – consume moderately,A delicious cardamom delight ice cream with rich taste and smooth creamy texture.
515,Butterscotch Cream,Healthy,"roasted nuts, cocoa powder, corn syrup, honey, caramel syrup, condensed milk, chocolate chips",28,8,316,Peanuts,Contains dairy which may affect lactose intolerant individuals,A delicious butterscotch cream ice cream with rich taste and smooth creamy texture.
516,Mint Cream,Healthy,"cocoa powder, wafer pieces, vanilla extract, brown sugar, roasted nuts, natural flavor, caramel syrup, cookie crumbs",29,17,180,Milk,Artificial colors may cause mild sensitivity,A delicious mint cream ice cream with rich taste and smooth creamy texture.
517,Vanilla Delight,Chocolate,"salt, roasted nuts, corn syrup, wafer pieces, cocoa powder, sugar",20,5,189,None,High fat content may contribute to obesity,A delicious vanilla delight ice cream with rich taste and smooth creamy texture.
518,Orange Fusion,Chocolate,"roasted nuts, honey, milk, wafer pieces, food coloring",17,8,333,None,High sugar intake may increase risk of diabetes,A delicious orange fusion ice cream with rich taste and smooth creamy texture.
519,Lavender Dream,Fruit,"salt, food coloring, brown sugar, milk, vanilla extract, condensed milk, roasted nuts",30,7,269,None,Nut allergens may cause allergic reactions,A delicious lavender dream ice cream with rich taste and smooth creamy texture.
520,Bubblegum Delight,Premium,"chocolate chips, vanilla extract, butter, fruit puree, cocoa powder",28,15,208,Nuts,Artificial colors may cause mild sensitivity,A delicious bubblegum delight ice cream with rich taste and smooth creamy texture.
